event_name_url,date,category
Global Health Seminar: Quantifying the Unobservable: The Foundations of Food Security Measure,"Thursday, April 13, 2017",Milken Institute School
Girl Rising Film Screening,"Thursday, April 13, 2017",Milken Institute School
Environmental and Occupational Health Culminating Experience Presentations,"Monday, April 17, 2017",Milken Institute School
DEB Seminar: Dr. Marcos Pérez-Losada,"Tuesday, April 18, 2017",Milken Institute School
Berz Symposium: Religion & Environment,"Wednesday, April 19, 2017",Milken Institute School
Before the Flood Documentary Screening,"Wednesday, April 19, 2017",Milken Institute School
"DEB Seminar: John Wedeles, PhD","Friday, April 21, 2017",Milken Institute School
Predictive Analytics in Healthcare Seminar @ GWSPH 04/26,"Wednesday, April 26, 2017",Milken Institute School
Department of Environmental and Occupational Health Culminating Experience Presentations,"Wednesday, April 26, 2017",Milken Institute School
"DEB Seminar: Cynthia Ogden, PhD","Friday, April 28, 2017",Milken Institute School
Fountain Day 2017,"Sunday, April 09, 2017",MVC Academic Affairs
"Film Screening/Panel Discussion: Dying In Vein, The Opiate Generation","Thursday, April 06, 2017",Nursing
Twitter as a Venue for Politics,"Wednesday, April 05, 2017",Politics
Why We Need Intellectual Diversity in Academia,"Thursday, April 06, 2017",Politics
"Film Screening/Panel Discussion: Dying In Vein, The Opiate Generation","Thursday, April 06, 2017",Politics
Crisis in the South China Sea: A Debate on U.S. Policy on the Conflict,"Tuesday, April 18, 2017",Politics
"SPRING SYMPOSIUM: YOUNG, LGBTQ AND HOMELESS","Wednesday, April 19, 2017",Politics
Research Days (Multi-Day Event),"Tuesday, April 04, 2017",Research
Research Days (Multi-Day Event),"Tuesday, April 04, 2017",Research
Twitter as a Venue for Politics,"Wednesday, April 05, 2017",Research
Crisis in the South China Sea: A Debate on U.S. Policy on the Conflict,"Tuesday, April 18, 2017",Research
"SPRING SYMPOSIUM: YOUNG, LGBTQ AND HOMELESS","Wednesday, April 19, 2017",Safety & Security
CPR/ AED Training,"Wednesday, April 26, 2017",Safety & Security
TCO 2017 Innovation Competition,"Wednesday, April 12, 2017",SEAS
ECE Research Blitz,"Friday, April 14, 2017",SEAS
"2017 Frank Howard Distinguished Lecture & Reception: ""Human Exploration from Inner to Outer Space""","Monday, April 17, 2017",SEAS
Graduate Engineering Programs: Online Info Session,"Monday, April 17, 2017",SEAS
2017 GW New Venture Competition Finals,"Thursday, April 20, 2017",SEAS
Graduate Engineering Programs: Online Info Session,"Monday, April 24, 2017",SEAS
9th Annual Richard and Janet Southby Distinguished Lectureship in Comparative Health Policy,"Monday, April 03, 2017",SMHS
Achieving Health Equity: Tools for a National Campaign Against Racism,"Monday, April 03, 2017",SMHS
"Film Screening/Panel Discussion: Dying In Vein, The Opiate Generation","Thursday, April 06, 2017",SMHS
"Global Health Lecture: Poverty, Health and Education in Rural India","Monday, April 24, 2017",SMHS
Department of Environmental and Occupational Health Culminating Experience Presentations,"Wednesday, April 26, 2017",SMHS
What's Up? Docs! Presents the D.C. Premiere of Sacred,"Thursday, April 13, 2017",SMPA
Why We Need Intellectual Diversity in Academia,"Thursday, April 06, 2017",Spiritual & Religious Life
What's Up? Docs! Presents the D.C. Premiere of Sacred,"Thursday, April 13, 2017",Spiritual & Religious Life
Berz Symposium: Religion & Environment,"Wednesday, April 19, 2017",Spiritual & Religious Life
TRAiLS - Jane's Island Overnight (Multi-Day Event),"Saturday, April 01, 2017",Student Organizations
TRAiLS - Jane's Island Overnight (Multi-Day Event),"Sunday, April 02, 2017",Student Organizations
"Hepatitis B, Hepatitis C, and HIV screening at GW Marvin Center","Tuesday, April 04, 2017",Student Organizations
FREE HIV Testing,"Wednesday, April 05, 2017",Student Organizations
Wellness Wednesday - Bystander Intervention Workshop,"Wednesday, April 05, 2017",Student Organizations
Why We Need Intellectual Diversity in Academia,"Thursday, April 06, 2017",Student Organizations
TRAiLS - Belay Workshop,"Friday, April 07, 2017",Student Organizations
TRAiLS - Big Schloss Overnight (Multi-Day Event),"Saturday, April 08, 2017",Student Organizations
TRAiLS - Cherry Blossom Hike,"Saturday, April 08, 2017",Student Organizations
Frozen Accord: A Simulation of Transnational Engagement and Dynamic Escalation in the Baltics,"Saturday, April 08, 2017",Student Organizations
TRAiLS - Big Schloss Overnight (Multi-Day Event),"Sunday, April 09, 2017",Student Organizations
TRAiLS - Horseback Riding,"Sunday, April 09, 2017",Student Organizations
Net Benefit: An Alumni-Student Mixer Where You'll Connect with the Right People,"Wednesday, April 12, 2017",Student Organizations
The Private Sector in International Development: Making the world better through better business,"Thursday, April 13, 2017",Student Organizations
National Alcohol Screening Day,"Tuesday, April 18, 2017",Student Organizations
"SPRING SYMPOSIUM: YOUNG, LGBTQ AND HOMELESS","Wednesday, April 19, 2017",Student Organizations
TRAiLS - Kayaking,"Saturday, April 22, 2017",Student Organizations
TRAiLS - Old Rag,"Saturday, April 22, 2017",Student Organizations
TRAiLS - Outdoor Climbing,"Sunday, April 23, 2017",Student Organizations
TRAiLS - Vineyard Tour,"Sunday, April 23, 2017",Student Organizations
TRAiLS - Cedar Run,"Saturday, April 29, 2017",Student Organizations
TRAiLS - Harpers Ferry Hike,"Sunday, April 30, 2017",Student Organizations
Berz Symposium: Religion & Environment,"Wednesday, April 19, 2017",Sustainability
Twitter as a Venue for Politics,"Wednesday, April 05, 2017",Technology
TCO 2017 Innovation Competition,"Wednesday, April 12, 2017",Technology
"Film Screening/Panel Discussion: Dying In Vein, The Opiate Generation","Thursday, April 06, 2017",Wellness & Health
"SPRING SYMPOSIUM: YOUNG, LGBTQ AND HOMELESS","Wednesday, April 19, 2017",Wellness & Health
